,name,url,promoted_content,query,tweet_volume
0,JIHOON,http://twitter.com/search?q=JIHOON,,JIHOON,368217.0
1,#ShowtimeDropNRollin,http://twitter.com/search?q=%23ShowtimeDropNRollin,,%23ShowtimeDropNRollin,13095.0
2,SB19 RTDay,http://twitter.com/search?q=%22SB19+RTDay%22,,%22SB19+RTDay%22,102263.0
3,DepEd,http://twitter.com/search?q=DepEd,,DepEd,45496.0
4,#SUNGCHAN,http://twitter.com/search?q=%23SUNGCHAN,,%23SUNGCHAN,104409.0
5,#SB19NewEraTrailer500K,http://twitter.com/search?q=%23SB19NewEraTrailer500K,,%23SB19NewEraTrailer500K,133378.0
6,HESINTOHER MALAPIT NA,http://twitter.com/search?q=%22HESINTOHER+MALAPIT+NA%22,,%22HESINTOHER+MALAPIT+NA%22,
7,A'TIN MASS HIMLAYAN,http://twitter.com/search?q=%22A%27TIN+MASS+HIMLAYAN%22,,%22A%27TIN+MASS+HIMLAYAN%22,22316.0
8,#ICY200MILLION,http://twitter.com/search?q=%23ICY200MILLION,,%23ICY200MILLION,21891.0
9,#SM_SUPPORT_REDVELVET,http://twitter.com/search?q=%23SM_SUPPORT_REDVELVET,,%23SM_SUPPORT_REDVELVET,150485.0
10,KAHIT ANO PA YAN KAORHYS,http://twitter.com/search?q=%22KAHIT+ANO+PA+YAN+KAORHYS%22,,%22KAHIT+ANO+PA+YAN+KAORHYS%22,13213.0
11,belle onmagandangbuhay,http://twitter.com/search?q=%22belle+onmagandangbuhay%22,,%22belle+onmagandangbuhay%22,20267.0
12,ICY BUT ON FIRE,http://twitter.com/search?q=%22ICY+BUT+ON+FIRE%22,,%22ICY+BUT+ON+FIRE%22,11873.0
13,KARYLLE LANG SAKALAM,http://twitter.com/search?q=%22KARYLLE+LANG+SAKALAM%22,,%22KARYLLE+LANG+SAKALAM%22,
14,Curry,http://twitter.com/search?q=Curry,,Curry,62912.0
15,JUNGHWAN IN A MILLION DAY,http://twitter.com/search?q=%22JUNGHWAN+IN+A+MILLION+DAY%22,,%22JUNGHWAN+IN+A+MILLION+DAY%22,85483.0
16,CRISDREA MATATAG,http://twitter.com/search?q=%22CRISDREA+MATATAG%22,,%22CRISDREA+MATATAG%22,28646.0
17,yugyeom,http://twitter.com/search?q=yugyeom,,yugyeom,119280.0
